Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate
0000001389,001389,Foster father,Walker,Danny,Mike,,1995-11-03,64022,SCOTLAND,Alejandroburgh,Male,Yes,Unemployed,2023-05-13
0000001390,001390,Foster mother,Brewer,Crystal,Patricia,,1993-09-25,64809,MCDONALD,Victoriafort,Female,No,Employed,2025-05-21
0000001390,001390,Stepmother,Wilson,Kayla,,,1986-10-24,64809,MCDONALD,Victoriafort,Female,Yes,Unemployed,2022-04-08
0000001391,001391,Grandmother,Ramos,Nancy,Lindsey,,1998-10-19,64079,NEW MADRID,Saraborough,Female,No,Not in Labor Force,2021-09-05
0000001391,001391,Aunt,White,Michelle,Martha,,1991-11-28,64079,NEW MADRID,Saraborough,Female,No,Employed,2021-03-21
0000001392,001392,Uncle,Wheeler,Dustin,,,1994-07-25,63768,MILLER,Port Michael,Male,No,Employed,2023-11-04
0000001393,001393,Aunt,Moore,Rebecca,,,1977-11-09,64795,BARTON,West Joshua,Female,Yes,Employed,2023-02-25
0000001394,001394,Foster father,Miller,Trevor,,,1972-10-17,64537,DADE,Stuartfort,Male,Yes,Employed,2026-01-15
0000001395,001395,Stepmother,Wright,Toni,Ashley,,2001-02-05,64743,DUNKLIN,Lake Meghan,Female,No,Part-time,2023-08-13
0000001395,001395,Grandmother,Hoover,Nancy,,,2005-07-19,64743,DUNKLIN,Lake Meghan,Female,Yes,Employed,2023-03-15
0000001396,001396,Grandfather,Mcclain,Brandon,James,,2003-05-11,64342,NEWTON,Gabrielborough,Male,No,Part-time,2023-09-07
0000001396,001396,Stepmother,Mcguire,Lisa,,,1989-03-26,64342,NEWTON,Gabrielborough,Female,Yes,Unemployed,2021-12-15
0000001397,001397,Adoptive parent,Abbott,Eric,Nicholas,,1983-11-09,65350,STONE,Lisaville,Male,No,Part-time,2021-10-22
0000001398,001398,Father,Bradley,Kenneth,Justin,Sr.,1982-09-07,65462,HOWELL,Rachaelland,Male,No,Employed,2024-09-01
0000001398,001398,Mother,Bradley,Sydney,Lori,,1981-07-30,65462,HOWELL,Rachaelland,Female,Yes,Employed,2022-08-18
0000001399,001399,Foster Parent,Ibarra,George,Michael,,1991-01-28,63290,WRIGHT,Carterhaven,Male,Yes,Employed,2022-02-14
0000001400,001400,Father,Morris,Stephen,Craig,,1979-10-19,65088,DEKALB,West John,Male,Yes,Part-time,2026-01-21
0000001401,001401,Foster Parent,Johnson,William,Lance,,1974-09-16,63639,BENTON,West Haleymouth,Male,Yes,Employed,2022-06-11
0000001402,001402,Adoptive parent,Williams,Lawrence,James,,1993-02-23,63262,MCDONALD,South Justinborough,Male,Yes,Employed,2023-03-06
0000001402,001402,Foster mother,Perez,Erin,,,1996-04-10,63262,MCDONALD,South Justinborough,Female,No,Employed,2024-09-14
0000001403,001403,Court appointed guardian,Bates,Daniel,Billy,,1977-10-23,65132,STONE,New Patriciachester,Male,No,Employed,2023-07-21
0000001404,001404,Aunt,Mooney,Julie,Lindsay,,1993-08-21,63914,OREGON,Port Troyton,Female,No,Employed,2025-02-19
0000001404,001404,Court appointed guardian,Horton,Michael,,,1989-10-11,63914,OREGON,Port Troyton,Male,No,Employed,2025-11-16
0000001405,001405,Mother,Jackson,Angela,Amy,,1997-03-02,64927,HOLT,Brittanybury,Female,Yes,Employed,2024-05-05
0000001405,001405,Foster mother,Ali,Courtney,,,2005-06-29,64927,HOLT,Brittanybury,Female,No,Part-time,2022-07-17
0000001406,001406,Foster father,Rose,Fernando,Christopher,,1993-01-24,64027,SCOTT,South Justinfurt,Male,No,Part-time,2024-05-20
0000001407,001407,Adoptive parent,Miller,David,Donald,,1978-02-02,63719,ST. LOUIS CITY,Deannaland,Male,No,Employed,2025-01-18
0000001407,001407,Foster mother,Rodriguez,Kristin,,,1994-11-17,63719,ST. LOUIS CITY,Deannaland,Female,Yes,Unemployed,2024-12-02
0000001408,001408,Mother,Perry,Michelle,Brianna,,1983-06-17,63920,KNOX,Joshuastad,Female,No,Part-time,2023-06-12
0000001408,001408,Court appointed guardian,Walker,Thomas,,,2002-03-27,63920,KNOX,Joshuastad,Male,No,Employed,2021-05-20
0000001409,001409,Adoptive parent,Kelly,Curtis,,Jr.,1995-09-28,63707,LAFAYETTE,South Kennethmouth,Male,No,Employed,2024-05-29
0000001409,001409,Stepmother,Edwards,Rebekah,,,1987-01-01,63707,LAFAYETTE,South Kennethmouth,Female,No,Part-time,2023-04-18
0000001410,001410,Foster mother,Smith,Jill,Faith,,1999-09-11,65269,WARREN,North Jeffreytown,Female,Yes,Employed,2022-02-08
0000001410,001410,Grandfather,Velez,Paul,John,,1994-05-13,65269,WARREN,North Jeffreytown,Male,No,Employed,2025-08-15
0000001411,001411,Aunt,Robinson,Janet,Amy,,2002-10-13,63936,BARRY,East Christopher,Female,Yes,Employed,2022-03-14
0000001412,001412,Grandfather,Jones,Zachary,,,1977-01-09,65158,GRUNDY,Lake Mirandaview,Male,No,Employed,2022-06-03
0000001412,001412,Mother,Medina,Diana,Whitney,Jr.,1999-03-17,65158,GRUNDY,Lake Mirandaview,Female,Yes,Employed,2021-08-15
0000001413,001413,Court appointed guardian,Gilbert,Jeffrey,Danny,,1986-10-02,65013,PHELPS,Markfurt,Male,Yes,Not in Labor Force,2024-09-12
0000001414,001414,Grandmother,Romero,Margaret,,,1999-05-23,64535,MISSISSIPPI,West Michelle,Female,Yes,Employed,2025-02-18
0000001414,001414,Court appointed guardian,Lyons,Christopher,,,1994-12-15,64535,MISSISSIPPI,West Michelle,Male,No,Unemployed,2023-03-29
0000001415,001415,Foster mother,Jones,Kimberly,,,1990-03-15,63679,RAY,Barnetthaven,Female,Yes,Employed,2024-08-19
0000001415,001415,Court appointed guardian,Garner,Michael,,,1988-03-03,63679,RAY,Barnetthaven,Male,Yes,Employed,2021-06-15
0000001416,001416,Mother,Bray,Jasmine,,,1980-01-20,63233,HENRY,Kendrafort,Female,Yes,Unemployed,2025-09-19
0000001417,001417,Foster father,Vasquez,Allen,,,1979-11-04,63950,RALLS,Lake Deborah,Male,Yes,Not in Labor Force,2021-08-02
0000001418,001418,Aunt,Swanson,Jamie,Allison,,1972-06-28,64115,SHELBY,Browntown,Female,No,Employed,2024-10-18
0000001419,001419,Foster Parent,Gutierrez,Christopher,,,1989-07-25,64460,DENT,Jasonshire,Male,No,Unemployed,2022-03-02
0000001420,001420,Stepfather,Blackburn,Samuel,Gary,,1992-12-22,64787,CLINTON,Rioshaven,Male,No,Not in Labor Force,2025-10-05
0000001421,001421,Uncle,Griffin,Ronald,,,1979-08-20,63888,BATES,Hesterhaven,Male,No,Employed,2025-03-11
0000001421,001421,Foster Parent,Woods,Justin,,,1984-09-08,63888,BATES,Hesterhaven,Male,No,Employed,2022-06-17
0000001422,001422,Stepfather,Jones,Cesar,Edward,,2008-01-22,65200,POLK,Martinport,Male,Yes,Unemployed,2024-12-19
0000001422,001422,Stepmother,Jones,Diane,Ashley,,1977-07-02,65200,POLK,Martinport,Female,No,Employed,2022-07-08
0000001423,001423,Foster Parent,Schmidt,Shawn,Richard,,1999-11-13,63277,MONROE,Lake Danieltown,Male,No,Employed,2023-03-31
0000001423,001423,Foster mother,Ingram,Heather,Robin,,2006-10-16,63277,MONROE,Lake Danieltown,Female,No,Employed,2022-01-22
0000001424,001424,Aunt,Mendoza,Courtney,Mary,Jr.,1984-12-01,63448,STODDARD,Bellville,Female,Yes,Employed,2023-06-05
0000001424,001424,Grandmother,Peterson,Pamela,,,2001-07-03,63448,STODDARD,Bellville,Female,Yes,Not in Labor Force,2021-03-23
0000001425,001425,Grandfather,Silva,Richard,,,2006-12-18,63287,GRUNDY,Romeroton,Male,No,Unemployed,2024-12-08
0000001425,001425,Father,Hernandez,Wesley,,,1979-07-15,63287,GRUNDY,Romeroton,Male,Yes,Employed,2023-05-27
0000001426,001426,Mother,Reyes,Lisa,Erin,,1985-05-01,65759,NODAWAY,Leeborough,Female,Yes,Unemployed,2022-08-25
0000001426,001426,Grandmother,White,Teresa,,Jr.,1972-01-09,65759,NODAWAY,Leeborough,Female,No,Not in Labor Force,2024-01-18
0000001427,001427,Stepfather,Snyder,Jeffrey,Gary,,2003-10-21,64046,PETTIS,Rodriguezton,Male,No,Not in Labor Force,2023-08-19
0000001427,001427,Father,Snyder,James,Jonathan,,1997-02-01,64046,PETTIS,Rodriguezton,Male,No,Employed,2022-02-28
0000001428,001428,Uncle,Dickerson,Matthew,Randall,,1970-08-01,65301,SCOTLAND,New Josephland,Male,Yes,Employed,2025-11-18
0000001428,001428,Father,Brown,Nicholas,,,1987-12-17,65301,SCOTLAND,New Josephland,Male,Yes,Employed,2025-01-07
0000001429,001429,Foster father,Martin,Shane,,,1987-02-11,64500,SCOTLAND,Myersville,Male,No,Part-time,2022-07-08
0000001430,001430,Court appointed guardian,Conway,David,Joshua,,1975-09-25,65601,ST. CLAIR,Port James,Male,Yes,Employed,2025-07-05
0000001431,001431,Court appointed guardian,York,Jerry,,,1983-07-30,64798,CALLAWAY,New Rebecca,Male,No,Unemployed,2024-08-08
0000001431,001431,Adoptive parent,Wong,David,Matthew,,1980-04-13,64798,CALLAWAY,New Rebecca,Male,No,Employed,2021-04-12
0000001432,001432,Grandmother,Bates,Samantha,Lisa,,2004-04-20,65353,DALLAS,West Erin,Female,Yes,Unemployed,2022-05-10
0000001432,001432,Stepfather,Watts,Evan,Devin,,2002-05-08,65353,DALLAS,West Erin,Male,No,Employed,2025-03-04
0000001433,001433,Stepmother,Rivers,Amy,,,1993-07-15,64054,DAVIESS,Pattersontown,Female,No,Employed,2026-02-18
0000001433,001433,Stepfather,Rivers,David,,,2003-11-20,64054,DAVIESS,Pattersontown,Male,Yes,Employed,2024-12-24
0000001434,001434,Mother,Shelton,Elizabeth,Jessica,,1990-02-10,63906,FRANKLIN,New Michaelfort,Female,No,Employed,2024-09-01
0000001434,001434,Uncle,Rosario,Steve,Manuel,,1994-05-02,63906,FRANKLIN,New Michaelfort,Male,Yes,Employed,2021-05-22
0000001435,001435,Foster father,Morales,Michael,,,2003-11-30,64524,TANEY,New Erinport,Male,No,Employed,2025-05-11
0000001435,001435,Stepmother,Rodriguez,Teresa,Carrie,,1976-06-12,64524,TANEY,New Erinport,Female,Yes,Employed,2023-05-09
0000001436,001436,Mother,Thomas,Julie,,,1974-05-23,65686,LEWIS,North Kevinmouth,Female,Yes,Employed,2023-05-20
0000001437,001437,Foster mother,Hahn,Joy,Karen,,1973-05-22,63810,STE. GENEVIEVE,Kingmouth,Female,Yes,Employed,2025-08-08
0000001437,001437,Grandmother,Ware,Barbara,,,1976-02-13,63810,STE. GENEVIEVE,Kingmouth,Female,No,Employed,2024-11-09
0000001438,001438,Aunt,Randolph,Christine,,,2002-04-04,64071,RALLS,Rodriguezhaven,Female,Yes,Part-time,2022-04-30
0000001438,001438,Adoptive parent,Brown,Joseph,Jon,,1970-12-02,64071,RALLS,Rodriguezhaven,Male,No,Employed,2024-05-09
0000001439,001439,Foster mother,Jones,Cindy,,,1996-05-29,63556,CAPE GIRARDEAU,West Tyler,Female,Yes,Employed,2021-09-28
0000001439,001439,Court appointed guardian,Higgins,Jeffery,Sean,,1986-04-11,63556,CAPE GIRARDEAU,West Tyler,Male,No,Employed,2022-09-16
0000001440,001440,Court appointed guardian,Sanders,Michael,,Jr.,1997-09-06,63197,SCHUYLER,East Samanthafurt,Male,No,Employed,2023-10-09
0000001440,001440,Aunt,Mendoza,Laura,Morgan,,2005-03-18,63197,SCHUYLER,East Samanthafurt,Female,Yes,Employed,2022-01-06
0000001441,001441,Court appointed guardian,White,Noah,Jonathan,,1987-10-22,64835,LEWIS,Archerhaven,Male,No,Employed,2026-01-09
0000001442,001442,Stepmother,Rivera,Lorraine,,,1974-12-11,64063,TEXAS,Landryview,Female,No,Employed,2023-08-17
0000001442,001442,Father,Rivera,Matthew,Steve,,1991-02-18,64063,TEXAS,Landryview,Male,No,Employed,2023-05-10
0000001443,001443,Court appointed guardian,Long,William,Jesus,,1986-12-30,65893,SCHUYLER,South Laurashire,Male,Yes,Part-time,2024-05-06
0000001444,001444,Stepfather,Montes,Joseph,Kenneth,,1987-08-24,65228,HENRY,Hoberg,Male,No,Part-time,2021-11-10
0000001445,001445,Adoptive parent,Thompson,Jesus,Jacob,,2006-07-04,65511,JASPER,West Tommy,Male,Yes,Employed,2026-02-20
0000001445,001445,Grandmother,Bright,Linda,Amy,,1999-12-29,65511,JASPER,West Tommy,Female,Yes,Not in Labor Force,2022-02-06
0000001446,001446,Stepfather,Robinson,Peter,Daniel,,1986-12-07,63549,ST. LOUIS,North Tracytown,Male,No,Employed,2022-05-30
0000001446,001446,Aunt,Mendoza,Debra,Whitney,,2003-04-17,63549,ST. LOUIS,North Tracytown,Female,Yes,Not in Labor Force,2024-12-08
0000001447,001447,Father,King,Victor,Gregory,,1982-02-11,63976,CLAY,Natashahaven,Male,Yes,Employed,2026-02-12
0000001448,001448,Stepmother,Miller,Shannon,Tiffany,,1991-05-03,64614,CLARK,Douglasborough,Female,No,Employed,2025-04-16
0000001448,001448,Court appointed guardian,Wallace,Gary,,,1999-11-17,64614,CLARK,Douglasborough,Male,Yes,Employed,2025-12-30
0000001449,001449,Adoptive parent,Bryant,Jerry,Alexander,,1994-12-23,63196,HOLT,Johnfurt,Male,Yes,Not in Labor Force,2026-01-12
0000001449,001449,Foster Parent,Wilson,Larry,Ronald,,1973-11-06,63196,HOLT,Johnfurt,Male,Yes,Employed,2025-05-24
0000001450,001450,Aunt,Sanchez,Stephanie,Elizabeth,,1977-08-15,65732,ST. LOUIS CITY,Carlaburgh,Female,Yes,Part-time,2023-02-27
0000001450,001450,Father,Green,Edward,Gregory,,2007-09-09,65732,ST. LOUIS CITY,Carlaburgh,Male,Yes,Employed,2025-06-07
0000001451,001451,Court appointed guardian,Benson,Tyler,David,,1998-03-10,65724,LAFAYETTE,Lake Katrina,Male,Yes,Not in Labor Force,2024-10-11
0000001451,001451,Grandfather,Johnson,Christopher,Nicholas,,1976-04-03,65724,LAFAYETTE,Lake Katrina,Male,Yes,Not in Labor Force,2025-11-23
0000001452,001452,Uncle,Hayes,Michael,,,1999-05-22,63470,BOLLINGER,Ashleymouth,Male,No,Employed,2024-02-19
0000001452,001452,Adoptive parent,Chapman,Eduardo,,,1993-02-27,63470,BOLLINGER,Ashleymouth,Male,No,Employed,2025-05-27
0000001453,001453,Court appointed guardian,Ruiz,Phillip,Peter,,1978-12-28,65253,BARTON,New Scott,Male,Yes,Unemployed,2024-09-02
0000001453,001453,Adoptive parent,Patel,John,Isaac,,1997-09-22,65253,BARTON,New Scott,Male,Yes,Unemployed,2023-01-02
0000001454,001454,Father,Marquez,Craig,Andrew,,2004-04-25,63751,MADISON,Gomezmouth,Male,No,Employed,2025-03-01
0000001455,001455,Stepfather,Hansen,Daniel,Eric,,1984-11-29,63842,DENT,Davisberg,Male,Yes,Employed,2025-09-23
0000001456,001456,Stepmother,Hunt,Cheryl,Jennifer,,1988-01-18,64926,ADAIR,New Amy,Female,No,Employed,2023-09-16
0000001457,001457,Father,Campos,Michael,William,,1978-11-30,63697,CAPE GIRARDEAU,Martineztown,Male,No,Unemployed,2023-08-29
0000001458,001458,Mother,Combs,Cynthia,Mackenzie,,2001-10-14,65708,BENTON,North Josephville,Female,No,Unemployed,2026-01-26
0000001458,001458,Foster Parent,Riley,Eric,Eric,,2003-06-16,65708,BENTON,North Josephville,Male,Yes,Unemployed,2021-04-22
0000001459,001459,Foster mother,Walton,Jennifer,Tina,,1999-12-12,64367,LINCOLN,Michelleville,Female,Yes,Employed,2025-06-15
0000001459,001459,Aunt,Schultz,Pam,Kristy,,1984-06-25,64367,LINCOLN,Michelleville,Female,Yes,Unemployed,2024-09-14
0000001460,001460,Mother,Stevenson,Allison,Brenda,,2007-11-11,65654,SCOTT,Lake Jamieberg,Female,Yes,Unemployed,2022-08-18
0000001461,001461,Foster mother,Shields,Lisa,,,1998-11-24,63250,REYNOLDS,West Courtney,Female,No,Unemployed,2021-08-08
0000001461,001461,Adoptive parent,Adams,Ronald,,,1980-02-20,63250,REYNOLDS,West Courtney,Male,No,Employed,2022-03-21
0000001462,001462,Stepfather,Hanson,Philip,,,1994-02-14,64929,CLINTON,North Carlos,Male,Yes,Unemployed,2021-05-28
0000001462,001462,Grandfather,Webb,Lance,,,2004-05-05,64929,CLINTON,North Carlos,Male,No,Employed,2021-06-15
0000001463,001463,Adoptive parent,Castillo,Kent,Daniel,,2003-05-27,65837,DADE,South Angelhaven,Male,Yes,Employed,2021-08-17
0000001464,001464,Foster Parent,Hernandez,Timothy,Daniel,,1992-08-26,65451,HOWARD,Port Jimmy,Male,Yes,Employed,2023-09-07
0000001465,001465,Father,Gonzales,Kevin,Robert,,1992-10-18,64271,SCOTT,South Dustintown,Male,Yes,Not in Labor Force,2025-04-29
0000001465,001465,Grandfather,Wood,Andrew,,,1970-04-03,64271,SCOTT,South Dustintown,Male,Yes,Part-time,2024-06-27
0000001466,001466,Court appointed guardian,Bray,Richard,,,1993-10-12,64748,MORGAN,New Judith,Male,No,Employed,2025-11-09
0000001467,001467,Grandmother,Hamilton,Katherine,Jessica,,2007-09-08,63846,GENTRY,Richardsonview,Female,Yes,Employed,2021-06-17
0000001468,001468,Stepmother,Butler,Lori,Jasmine,,1971-06-19,65181,NODAWAY,Hernandezport,Female,No,Employed,2022-05-05
0000001469,001469,Stepmother,Turner,Emily,,,2006-11-24,64074,DENT,Williamsstad,Female,Yes,Employed,2021-04-23
0000001469,001469,Father,Turner,Sean,Gabriel,,2007-07-05,64074,DENT,Williamsstad,Male,Yes,Employed,2022-07-04
0000001470,001470,Uncle,Lara,Jason,Alan,,1999-05-16,65305,MORGAN,West Vincent,Male,No,Employed,2021-09-30
0000001471,001471,Uncle,Hardin,Sean,Donald,,1985-12-22,63917,NODAWAY,East Dianastad,Male,No,Part-time,2025-09-26
0000001471,001471,Stepmother,Warren,Katherine,Christina,,1974-01-17,63917,NODAWAY,East Dianastad,Female,Yes,Employed,2025-07-27
0000001472,001472,Stepfather,Trevino,Bryan,William,,1980-04-07,63082,MONTGOMERY,West Kristen,Male,Yes,Employed,2022-10-26
0000001473,001473,Stepfather,Franco,Mark,Matthew,,1993-11-03,64012,MILLER,Bennettfort,Male,No,Employed,2024-01-17
0000001473,001473,Adoptive parent,Wells,Peter,,,1998-02-06,64012,MILLER,Bennettfort,Male,Yes,Employed,2021-09-10
0000001474,001474,Adoptive parent,Mcclure,James,William,,2000-07-12,63111,SCOTT,Davidmouth,Male,No,Employed,2021-05-23
0000001475,001475,Uncle,Carter,Sean,David,,1988-10-12,64811,ST. LOUIS,North Anthonyburgh,Male,No,Employed,2023-03-28
0000001475,001475,Grandfather,Smith,Troy,Keith,,2002-02-10,64811,ST. LOUIS,North Anthonyburgh,Male,No,Employed,2022-12-31
0000001476,001476,Court appointed guardian,Weaver,Kenneth,,,1977-11-28,65859,SCOTT,Kathleenbury,Male,No,Employed,2023-02-22
0000001476,001476,Foster mother,Wu,Stephanie,Wanda,,2007-08-31,65859,SCOTT,Kathleenbury,Female,Yes,Employed,2023-04-05
0000001477,001477,Stepmother,Cruz,Kelly,Ashley,,1973-04-11,64270,CHRISTIAN,Nielsenton,Female,No,Part-time,2025-08-17
0000001478,001478,Stepmother,Jones,Samantha,Claire,,1998-05-07,64521,MADISON,Catherinetown,Female,No,Part-time,2021-03-30
0000001478,001478,Grandmother,Evans,Janice,Christine,,1994-02-27,64521,MADISON,Catherinetown,Female,Yes,Part-time,2026-01-27
0000001479,001479,Aunt,Vasquez,Mary,Stephanie,,1974-12-13,65214,PHELPS,East Johnny,Female,Yes,Employed,2021-03-03
0000001479,001479,Grandmother,Wilson,Lauren,Amanda,,1977-08-15,65214,PHELPS,East Johnny,Female,No,Employed,2022-03-01
0000001480,001480,Foster Parent,Johnson,Mark,William,,1978-07-14,64753,CAPE GIRARDEAU,North Brandi,Male,No,Employed,2025-02-16
0000001480,001480,Stepfather,Martin,Gregg,,,1986-07-29,64753,CAPE GIRARDEAU,North Brandi,Male,Yes,Employed,2022-01-07
0000001481,001481,Father,Harris,Eric,William,,1991-06-17,64574,POLK,North Michael,Male,Yes,Employed,2024-11-12
0000001481,001481,Grandfather,Burch,Justin,,,2001-04-27,64574,POLK,North Michael,Male,Yes,Employed,2023-11-08
0000001482,001482,Aunt,Carlson,Sharon,Elizabeth,,1971-10-19,63904,MONITEAU,Leeborough,Female,No,Not in Labor Force,2023-03-20
0000001482,001482,Uncle,Haynes,Juan,,,1982-06-02,63904,MONITEAU,Leeborough,Male,No,Part-time,2026-01-24
0000001483,001483,Adoptive parent,Oconnor,Brent,Jared,,1976-05-08,65227,WAYNE,Port Carlos,Male,No,Employed,2022-07-27
0000001483,001483,Father,Bell,Ryan,Steven,,1994-06-04,65227,WAYNE,Port Carlos,Male,Yes,Employed,2023-05-30
0000001484,001484,Stepfather,Miller,Ricky,Troy,,1981-02-22,65234,PHELPS,Craigfort,Male,No,Employed,2021-07-23
0000001485,001485,Father,Walker,Mark,,,1977-12-10,65392,WORTH,Sandraview,Male,No,Unemployed,2022-02-24
0000001485,001485,Uncle,Palmer,Brett,Aaron,,1999-08-25,65392,WORTH,Sandraview,Male,No,Part-time,2021-07-10
0000001486,001486,Foster mother,Jimenez,Jennifer,Patricia,,1996-04-08,64034,DOUGLAS,Charlesshire,Female,Yes,Employed,2024-04-11
0000001487,001487,Foster Parent,Ward,Michael,,,1972-11-29,64896,SCOTLAND,New Heidiville,Male,No,Not in Labor Force,2023-09-10
0000001487,001487,Stepmother,Collins,Sandra,Megan,,2002-06-23,64896,SCOTLAND,New Heidiville,Female,No,Employed,2023-01-18
0000001488,001488,Court appointed guardian,Neal,Shaun,Andrew,,1977-05-06,63697,ADAIR,North Matthewview,Male,No,Employed,2022-06-16
0000001488,001488,Grandfather,Johnson,Kevin,,,2000-04-14,63697,ADAIR,North Matthewview,Male,Yes,Employed,2024-07-16
0000001489,001489,Foster Parent,Nguyen,Joseph,William,,2004-10-18,64971,CASS,Sandraton,Male,Yes,Part-time,2023-11-09
0000001490,001490,Father,Strong,Mark,John,,2000-03-16,63998,DEKALB,West Tinachester,Male,No,Employed,2024-03-14
0000001491,001491,Stepmother,Miller,Sabrina,Kimberly,,1977-06-10,63298,ST. LOUIS,Pottsview,Female,Yes,Employed,2021-04-10
0000001491,001491,Father,Miller,Jesse,Daniel,,1973-04-17,63298,ST. LOUIS,Pottsview,Male,No,Employed,2021-05-31
0000001492,001492,Stepfather,Perez,Walter,,,2000-03-06,64843,MADISON,Ryanport,Male,Yes,Employed,2023-03-16
0000001492,001492,Court appointed guardian,Torres,Marvin,,,1983-08-21,64843,MADISON,Ryanport,Male,Yes,Employed,2024-08-13
0000001493,001493,Father,Perez,Jesus,Joseph,,2006-02-26,65164,MERCER,North Kimborough,Male,Yes,Employed,2021-07-17
0000001493,001493,Stepmother,Perez,Chelsea,,,2007-03-17,65164,MERCER,North Kimborough,Female,Yes,Not in Labor Force,2024-10-08
0000001494,001494,Foster mother,Glass,Hannah,Martha,,1970-09-12,64556,SALINE,Williamsfurt,Female,Yes,Part-time,2021-06-10
0000001495,001495,Foster father,Garcia,Benjamin,,,1997-02-24,63266,CARROLL,Wilsonstad,Male,Yes,Part-time,2024-09-14
0000001495,001495,Aunt,Johns,Angela,,,1970-03-31,63266,CARROLL,Wilsonstad,Female,No,Unemployed,2025-12-31
0000001496,001496,Court appointed guardian,Chandler,Jose,Hunter,,1974-04-21,63465,CHARITON,New Alejandrochester,Male,Yes,Not in Labor Force,2025-05-29
0000001496,001496,Stepmother,Allen,Tracie,,,1975-04-17,63465,CHARITON,New Alejandrochester,Female,No,Employed,2022-02-12
0000001497,001497,Stepfather,Bradley,David,Timothy,,1970-06-23,64169,MARION,Port Jenniferton,Male,Yes,Unemployed,2024-10-12
0000001497,001497,Mother,Bradley,Diane,Erika,,1982-04-03,64169,MARION,Port Jenniferton,Female,No,Employed,2025-07-30
0000001498,001498,Foster father,Morris,Michael,James,,1983-11-18,64211,RANDOLPH,West Michaelbury,Male,Yes,Employed,2021-07-19
0000001498,001498,Father,White,Derrick,,,2005-10-02,64211,RANDOLPH,West Michaelbury,Male,No,Part-time,2024-06-21
0000001499,001499,Mother,Sandoval,Michelle,Melissa,,1998-01-11,65655,IRON,North Johnside,Female,No,Employed,2023-12-23
0000001499,001499,Grandmother,Pittman,Jill,Amy,,1993-06-02,65655,IRON,North Johnside,Female,No,Employed,2024-06-18
0000001500,001500,Foster mother,Scott,Barbara,Brianna,,1989-01-05,65757,JACKSON,South Jennifer,Female,No,Part-time,2023-04-25
0000001500,001500,Grandmother,Parker,Ashley,Stacey,,2006-12-30,65757,JACKSON,South Jennifer,Female,Yes,Unemployed,2021-12-10
0000001501,001501,Aunt,Johnson,Nicole,,,1985-08-04,63479,DALLAS,Luisside,Female,Yes,Employed,2022-11-14
0000001501,001501,Adoptive parent,Jenkins,Peter,Timothy,,1973-01-22,63479,DALLAS,Luisside,Male,No,Unemployed,2021-10-09
0000001502,001502,Adoptive parent,Gutierrez,Robert,,,1997-04-20,64362,STONE,Ramirezborough,Male,Yes,Employed,2022-08-25
0000001502,001502,Stepmother,Thornton,Anita,Michele,,1994-05-14,64362,STONE,Ramirezborough,Female,Yes,Employed,2021-03-01
0000001503,001503,Stepfather,Torres,Austin,,,1997-02-13,63686,OREGON,North Nathan,Male,No,Unemployed,2022-04-02
0000001503,001503,Foster Parent,Gibson,Michael,Bryan,,2001-07-12,63686,OREGON,North Nathan,Male,Yes,Part-time,2022-11-04
0000001504,001504,Grandfather,Benitez,Jacob,,,1994-11-16,65436,MONITEAU,Bentontown,Male,Yes,Unemployed,2025-09-07
0000001504,001504,Adoptive parent,Kelley,Cody,,,1994-09-30,65436,MONITEAU,Bentontown,Male,Yes,Not in Labor Force,2026-01-29
0000001505,001505,Adoptive parent,Garcia,Corey,Jonathan,,1979-04-23,64080,MACON,North Joshuafurt,Male,Yes,Employed,2022-07-25
0000001506,001506,Uncle,Wagner,Steven,Christopher,,1998-08-27,63514,RALLS,South Jack,Male,Yes,Not in Labor Force,2022-06-23
0000001507,001507,Grandfather,Jarvis,Lance,Anthony,,1989-08-18,63608,MORGAN,Sharonmouth,Male,No,Not in Labor Force,2026-02-19
0000001507,001507,Aunt,Osborne,Monica,,,1970-09-03,63608,MORGAN,Sharonmouth,Female,No,Employed,2024-10-21
0000001508,001508,Foster father,Berger,Jacob,Lucas,,1997-11-15,63324,BOONE,West Jessicachester,Male,No,Part-time,2022-07-04
0000001508,001508,Father,Garza,Joseph,Barry,,1990-10-21,63324,BOONE,West Jessicachester,Male,Yes,Employed,2023-02-21
0000001509,001509,Grandmother,Griffin,Erin,,,1976-12-18,63039,HARRISON,Port Danielfurt,Female,Yes,Employed,2021-04-15
0000001509,001509,Mother,Mcfarland,Kathryn,,,1977-03-09,63039,HARRISON,Port Danielfurt,Female,No,Employed,2022-08-03
0000001510,001510,Foster father,Ashley,Tim,,,2001-10-18,64315,SHANNON,Colemanshire,Male,Yes,Employed,2023-01-07
0000001510,001510,Stepmother,Mitchell,Angela,Tina,,1983-06-14,64315,SHANNON,Colemanshire,Female,No,Employed,2023-06-17
0000001511,001511,Stepmother,Mcdonald,Sheila,Katrina,,2001-12-21,63384,BARRY,East Rebecca,Female,Yes,Unemployed,2025-07-14
