Child DCN,Child MOSIS ID,LastName,FirstName,MiddleName,GenerationCode,BirthDate,PostalCode,AddressCountyName,City,ResponsibleOrganizationIdentifier,RefSex.Description,RefRace.Description,HispanicLatinoEthnicity,FosterCareStartDate,FosterCareEndDate,ChildAbuseNeglect,RefLanguage.Description,HomelessnessStatus,MigrantStatus,RefParentMaritalStatus.Description,FamilyMemberIncarcerated,FamilyMemberSubstanceUseAbuse,LossOfParent,PercentOfFederalPovertyLevel,FamilyIncome,NumberOfPeopleInFamily,HouseholdMemberDepressedOrMentallyIll,WeightAtBirth,WeeksOfGestation,num_participation_episodes,total_attendance_days,num_enrollment_gaps,max_gap_days,has_gap_over_6mo,avg_attendance_days,num_screenings_completed,screening_completion_rate,num_immunizations,immunization_compliance_rate,missed_screening,has_disability,has_outcomes_data,avg_cos_rating,low_outcomes,homelessness_flag,migrant_flag,abuse_flag,incarcerated_flag,substance_flag,depression_flag,loss_parent_flag,in_foster_care,deep_poverty,num_household_stressors,stability_score,engagement_score,developmental_score,context_score,composite_risk_score,risk_tier,programs_enrolled,total_enrollments
666,666,Washington,Brandy,Stephanie,,2021-03-01,64792,JASPER,Hansenside,49855,Female,White,No,2025-02-09,2025-10-27,False,English,False,False,Married,False,True,False,149,33830,2,False,4154,40,1,12,0,0,False,12.0,5,0.8333333333333334,18,1.0,False,False,True,3.25,True,False,False,False,False,True,False,False,True,False,1,20,45.83333333333333,35,25,31.208333333333332,Moderate,Home Visiting,1
667,667,Bailey,James,Jacob,,2018-07-20,65300,JACKSON,Hillside,48779,Not selected,Asian,No,,,False,Urdu,False,False,Divorced,False,False,False,146,37507,5,False,3583,35,1,22,0,0,False,22.0,5,0.8333333333333334,17,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,20,45.83333333333333,35,20,30.208333333333332,Moderate,First Steps,1
668,668,Weiss,Kim,Joanna,,2018-06-01,64861,NEWTON,Shawnhaven,73919,Female,White,No,,,True,English,False,False,Separated,False,False,False,72,24348,5,False,2530,39,1,24,0,0,False,24.0,4,0.6666666666666666,12,1.0,False,False,True,3.75,True,False,False,True,False,False,False,False,True,True,0,20,51.66666666666667,35,60,39.66666666666667,High,Early Intervention,1
669,669,Vincent,Cody,Albert,,2018-10-12,64886,CAPE GIRARDEAU,West Jennifer,16499,Male,White,No,,,True,English,False,False,Single,False,False,False,37,12618,3,True,3392,39,1,32,0,0,False,32.0,4,0.6666666666666666,14,1.0,False,False,True,2.25,True,False,False,True,False,False,True,False,True,True,1,20,51.66666666666667,35,65,40.66666666666667,High,Early Intervention,1
670,670,Warren,Kimberly,Jasmine,,2019-10-16,64082,WORTH,Cannonberg,114739,Female,Asian,No,,,False,English,False,False,Separated,False,False,False,238,89631,3,False,4229,39,1,53,0,0,False,53.0,6,1.0,22,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Childcare Subsidy,1
671,671,Rodriguez,Frank,Martin,,2018-12-19,64401,RIPLEY,North Maryberg,91420,Male,White,No,,,False,English,False,False,Married,False,False,False,121,47774,2,False,2619,37,1,97,0,0,False,97.0,3,0.5,18,1.0,True,True,True,3.0,True,False,False,False,False,False,False,False,True,False,0,20,17.5,75,20,33.125,Moderate,Childcare Subsidy,1
672,672,Lee,Amanda,Ashley,,2019-03-23,65221,JEFFERSON,New Darlenefurt,50947,Female,Black or African American,No,,,True,Spanish,False,True,Single,False,False,False,139,38430,2,True,4171,29,3,118,0,0,False,39.333333333333336,5,0.8333333333333334,17,1.0,False,False,True,3.5,True,False,True,True,False,False,True,False,True,False,1,0,45.83333333333333,35,40,28.208333333333332,Moderate,"Home Visiting, Child Care",3
673,673,Scott,Joseph,Michael,,2021-02-24,65332,BATES,Jeffreyland,7140,Male,White,No,,,False,English,False,False,Married,True,False,False,230,89596,6,False,3956,39,3,271,1,201,True,90.33333333333333,5,0.8333333333333334,22,1.0,False,False,True,5.416666666666667,False,False,False,False,True,False,False,False,True,False,1,40,5.833333333333332,0,25,18.458333333333332,Low,"Early Intervention, State Pre-K, Childcare Subsidy",3
674,674,Hebert,Samantha,Diana,,2019-11-05,64688,WARREN,South Laurieton,110353,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,155,47404,3,False,4346,42,2,45,0,0,False,22.5,5,0.8333333333333334,20,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,20,45.83333333333333,0,20,21.458333333333332,Low,First Steps,2
675,675,Zamora,Patrick,,,2018-05-11,63750,RANDOLPH,Lauraton,88071,Male,White,No,,,False,English,False,False,Married,False,False,False,142,34347,6,False,3391,37,1,40,0,0,False,40.0,6,1.0,19,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Early Intervention,1
676,676,Jones,Joseph,Billy,,2021-04-19,65061,MONTGOMERY,Christianborough,70200,Not selected,White,No,,,False,English,False,False,Single,False,False,False,126,33300,4,False,3419,41,1,34,0,0,False,34.0,6,1.0,17,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,First Steps,1
677,677,Schmidt,Brent,Neil,,2018-06-13,64365,MONTGOMERY,East Alicia,70924,Male,White,No,,,False,English,False,False,Single,False,False,False,337,46805,2,False,3730,42,2,115,0,0,False,57.5,6,1.0,22,1.0,False,False,True,6.25,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"Early Intervention, State Pre-K",2
678,678,Curry,Lori,Cassidy,,2020-05-23,64663,AUDRAIN,Reeseshire,4735,Female,White,No,,,False,English,False,False,Married,False,False,False,218,90785,2,False,2521,38,2,206,1,115,False,103.0,6,1.0,22,1.0,False,False,True,4.875,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,"Childcare Subsidy, Head Start",2
679,679,Andrade,Jimmy,Maurice,,2018-02-11,65681,HOWARD,Port Henry,45703,Male,White,No,,,False,English,False,False,Divorced,False,False,False,4,14354,4,False,3950,42,2,34,1,78,False,17.0,4,0.6666666666666666,9,0.75,False,True,True,2.625,True,False,False,False,False,False,False,False,True,True,0,35,57.91666666666667,75,45,52.72916666666667,High,"Home Visiting, First Steps",2
680,680,Murillo,George,Christopher,,2020-11-01,65775,GASCONADE,Mahoneymouth,37637,Male,Asian,No,,,False,English,False,False,Married,True,False,False,198,23883,2,False,2647,41,1,66,0,0,False,66.0,3,0.5,16,1.0,True,False,True,3.25,True,False,False,False,True,False,False,False,True,False,1,20,57.5,35,25,34.125,Moderate,Early Head Start,1
681,681,Gutierrez,Yesenia,Sarah,,2018-04-21,63997,HOWARD,Mckenziemouth,45932,Female,Black or African American,No,,,False,English,False,False,Divorced,False,False,False,168,47179,2,False,3619,40,3,246,0,0,False,82.0,5,0.8333333333333334,22,1.0,False,False,True,4.375,False,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,0,20,5.458333333333333,Low,"Early Intervention, State Pre-K, Childcare Subsidy",3
682,682,Cannon,Anna,Jason,Jr.,2021-05-02,63892,SALINE,Michaelmouth,92679,Not selected,White,No,,,False,English,False,False,Separated,False,True,False,145,48242,3,False,3796,39,1,30,0,0,False,30.0,6,1.0,17,1.0,False,False,True,3.25,True,False,False,False,False,True,False,False,True,False,1,20,40.0,35,25,29.75,Moderate,Early Intervention,1
683,683,Bird,Jennifer,Molly,,2018-08-07,65200,LIVINGSTON,New Derekport,59261,Female,White,No,2025-10-23,2026-02-26,False,English,False,False,Divorced,False,False,True,89,4897,4,False,2050,37,3,74,1,93,False,24.666666666666668,1,0.16666666666666666,13,1.0,True,False,True,2.75,True,False,False,False,False,False,False,True,True,True,1,35,69.16666666666667,35,50,46.54166666666667,High,"Home Visiting, Early Intervention, Childcare Subsidy",3
684,684,Lewis,William,,,2021-09-09,63900,LINCOLN,Andrewview,57814,Male,Black or African American,No,,,False,English,False,False,Divorced,False,False,False,166,30947,3,False,3715,42,2,308,0,0,False,154.0,6,1.0,17,1.0,False,False,True,3.25,True,False,False,False,False,False,False,False,True,False,0,0,0.0,35,20,12.75,Low,Early Head Start,2
685,685,Duncan,Kayla,,,2021-05-06,63034,CLARK,North Benjamin,23906,Female,White,No,,,False,English,False,False,Separated,False,False,False,115,35136,3,False,3961,41,2,195,0,0,False,97.5,4,0.6666666666666666,17,1.0,False,False,True,2.75,True,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,35,20,15.666666666666668,Low,"Child Care, State Pre-K",2
686,686,Richardson,Charles,,,2019-07-23,65148,HOWELL,East Jonathan,46805,Male,White,No,,,True,English,False,False,Married,False,False,False,243,82063,6,False,4035,40,1,151,0,0,False,151.0,6,1.0,21,1.0,False,False,True,4.5,False,False,False,True,False,False,False,False,True,False,0,0,0.0,0,35,7.0,Low,Childcare Subsidy,1
687,687,Carroll,Ashley,,,2021-03-23,64391,ST. CLAIR,Lake Chris,99940,Not selected,Asian,No,,,False,English,False,False,Married,False,False,False,105,22200,4,False,4469,39,2,92,1,107,False,46.0,5,0.8333333333333334,15,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,35,45.83333333333333,35,20,34.70833333333333,Moderate,"First Steps, Early Intervention",2
688,688,Nolan,John,John,,2018-09-05,65519,CRAWFORD,New Dawnton,28302,Male,American Indian or Alaska Native,No,,,False,English,False,False,Divorced,True,True,False,84,5095,2,False,3363,39,1,11,0,0,False,11.0,4,0.6666666666666666,13,1.0,False,False,True,3.0,True,False,False,False,True,True,False,False,True,True,2,20,51.66666666666667,35,55,38.66666666666667,High,First Steps,1
689,689,Miller,Barbara,,,2019-12-01,63207,COOPER,Port Matthewchester,27284,Not selected,American Indian or Alaska Native,Yes,,,False,English,False,False,Separated,False,False,False,162,36319,6,False,2691,40,1,164,0,0,False,164.0,5,0.8333333333333334,17,1.0,False,False,True,5.75,False,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,0,20,5.458333333333333,Low,Childcare Subsidy,1
690,690,Kane,Shawna,,,2018-07-09,65436,ST. LOUIS CITY,Lake Denise,102237,Female,White,No,,,False,English,False,False,Divorced,False,False,False,299,51288,5,False,3111,40,3,284,0,0,False,94.66666666666667,5,0.8333333333333334,20,1.0,False,False,True,5.75,False,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,0,20,5.458333333333333,Low,"First Steps, Child Care, Childcare Subsidy",3
691,691,Reyes,Alexander,Kimberly,,2018-03-19,65216,DEKALB,Alicemouth,32841,Not selected,White,Yes,,,True,English,False,False,Single,False,False,True,10,6652,5,True,3443,37,1,74,0,0,False,74.0,3,0.5,11,0.9166666666666666,True,False,True,2.5,True,False,False,True,False,False,True,True,True,True,2,20,59.583333333333336,35,70,43.645833333333336,High,Early Head Start,1
692,692,Walker,Edward,Wayne,,2021-03-03,64043,GASCONADE,Lake Jessicafurt,37308,Not selected,White,No,,,False,English,False,False,Single,False,False,False,325,65065,3,False,1932,38,1,115,0,0,False,115.0,4,0.6666666666666666,22,1.0,False,False,True,4.5,False,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,0,20,6.916666666666667,Low,Childcare Subsidy,1
693,693,Davis,Nicole,Laura,,2021-02-03,64407,TANEY,Robertsfurt,107964,Female,White,No,,,False,Arabic,False,False,Divorced,False,False,False,323,78730,7,False,3775,40,2,156,0,0,False,78.0,5,0.8333333333333334,21,1.0,False,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,0,45.83333333333333,0,20,15.458333333333332,Low,"Home Visiting, Head Start",2
694,694,Alvarez,Matthew,,,2019-12-10,65292,COLE,New Raymondland,26347,Not selected,White,No,,,False,English,False,False,Separated,False,False,False,222,75207,2,False,4156,42,3,349,0,0,False,116.33333333333333,6,1.0,21,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,"First Steps, Early Head Start, State Pre-K",3
695,695,Gill,Jessica,Melissa,,2018-12-27,64093,SCHUYLER,Hansenfort,93379,Female,White,No,,,False,English,False,False,Married,False,False,False,322,62600,3,False,3238,38,3,218,1,44,False,72.66666666666667,5,0.8333333333333334,21,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,15,45.83333333333333,0,20,19.958333333333332,Low,"Child Care, Childcare Subsidy, Early Intervention",3
696,696,Shea,Laura,Kristina,,2021-05-13,64764,BOLLINGER,East Charles,9214,Female,White,No,,,False,English,False,False,Married,False,True,False,55,37546,3,False,4057,40,2,56,1,92,False,28.0,6,1.0,16,1.0,False,False,True,4.5,False,False,False,False,False,True,False,False,True,True,1,35,40.0,0,50,30.5,Moderate,"Home Visiting, First Steps",2
697,697,Davis,Erica,Tammy,,2020-06-19,63055,DAVIESS,Hendersonstad,31465,Female,Native Hawaiian or Other Pacific Islander,No,,,False,English,False,False,Separated,False,False,False,200,23888,3,False,4123,38,1,13,0,0,False,13.0,4,0.6666666666666666,19,1.0,False,True,True,2.75,True,False,False,False,False,False,False,False,True,False,0,20,51.66666666666667,75,20,41.66666666666667,High,Home Visiting,1
698,698,Carrillo,Haley,Mary,,2018-05-25,63901,LACLEDE,West Christina,53674,Female,White,No,,,False,English,False,False,Divorced,False,False,False,2,982,2,True,3254,42,2,82,0,0,False,41.0,2,0.3333333333333333,12,1.0,True,False,True,2.875,True,False,False,False,False,False,True,False,True,True,1,20,63.333333333333336,35,50,40.583333333333336,High,"Early Head Start, First Steps",2
699,699,Thomas,Jessica,,,2018-09-09,63721,WRIGHT,Port Jesusstad,115444,Female,White,No,,,False,English,False,False,Single,False,False,False,177,21592,4,False,4292,42,1,21,0,0,False,21.0,4,0.6666666666666666,17,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,20,51.66666666666667,0,20,22.916666666666668,Low,Early Intervention,1
700,700,Miller,Monica,,,2019-08-15,64917,CLINTON,East Stacyberg,25004,Female,White,No,,,True,English,True,False,Divorced,False,False,False,97,20620,2,False,1825,38,1,52,0,0,False,52.0,4,0.6666666666666666,16,1.0,False,False,True,3.75,True,True,False,True,False,False,False,False,True,True,0,20,51.66666666666667,35,85,44.66666666666667,High,Childcare Subsidy,1
701,701,Benson,Robert,Adam,,2019-12-05,64742,CAPE GIRARDEAU,West Shannontown,16028,Male,White,No,,,False,English,False,False,Single,False,False,False,105,45004,6,False,3208,33,1,54,0,0,False,54.0,6,1.0,16,1.0,False,False,True,3.25,True,False,False,False,False,False,False,False,True,False,0,20,40.0,35,20,28.75,Moderate,Early Head Start,1
702,702,Payne,Patrick,Daniel,,2021-03-24,64008,ST. LOUIS,Anaberg,101353,Male,White,No,,,False,English,False,False,Separated,False,False,False,104,49803,2,False,3088,39,1,81,0,0,False,81.0,3,0.5,21,1.0,True,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,20,17.5,0,20,14.375,Low,Childcare Subsidy,1
703,703,Escobar,Michael,James,,2019-06-08,64626,MACON,West Georgeport,61094,Male,White,No,,,False,English,False,False,Divorced,False,False,False,49,19894,5,False,2755,38,2,121,0,0,False,60.5,3,0.5,15,1.0,True,False,True,3.375,True,False,False,False,False,False,False,False,True,True,0,0,57.5,35,45,32.125,Moderate,"Child Care, First Steps",2
704,704,Marshall,Heather,Joseph,Sr.,2020-11-28,63367,RIPLEY,North Paulview,91987,Not selected,White,No,,,False,English,False,False,Separated,False,False,False,331,94941,3,False,3914,38,2,131,0,0,False,65.5,6,1.0,22,1.0,False,False,True,4.5,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"Early Intervention, Child Care",2
705,705,Rodriguez,Thomas,Isaac,,2019-12-17,65294,HOWARD,Michellefurt,45687,Male,White,No,,,False,English,False,False,Married,False,False,False,325,86375,3,False,3261,42,2,165,0,0,False,82.5,4,0.6666666666666666,19,1.0,False,False,True,3.5,True,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,35,20,15.666666666666668,Low,"Home Visiting, Child Care",2
706,706,Garcia,Oscar,Tiffany,,2021-04-27,63469,PLATTE,Toddside,83545,Not selected,White,No,,,False,English,False,False,Separated,True,False,False,361,60487,2,False,4319,42,3,269,0,0,False,89.66666666666667,6,1.0,21,1.0,False,False,True,5.5,False,False,False,False,True,False,False,False,True,False,1,0,0.0,0,25,5.0,Low,"Home Visiting, Head Start, Child Care",3
707,707,Rasmussen,James,,,2021-03-13,64939,TANEY,North Johnhaven,107673,Not selected,White,No,,,False,English,False,False,Married,False,False,False,161,68693,2,False,2658,41,2,38,0,0,False,19.0,6,1.0,20,1.0,False,False,True,5.75,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Early Intervention,2
708,708,Garner,Katherine,,,2020-06-14,65420,CRAWFORD,West Gabriellestad,28329,Female,White,No,,,True,English,False,False,Divorced,False,False,False,50,46581,3,False,2477,37,1,147,0,0,False,147.0,3,0.5,17,1.0,True,False,True,4.25,False,False,False,True,False,False,False,False,True,True,0,0,17.5,0,60,16.375,Low,Childcare Subsidy,1
709,709,Mason,David,William,,2018-04-19,65320,MONROE,Lake Jonathanfurt,69663,Male,White,No,,,False,English,False,False,Single,False,False,False,168,55811,7,False,4065,37,1,19,0,0,False,19.0,6,1.0,22,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Home Visiting,1
710,710,Peters,Lisa,Anthony,,2020-12-19,65610,TEXAS,Jeremiahmouth,108959,Not selected,White,No,,,False,English,False,False,Married,False,True,False,129,26652,3,False,2977,37,1,52,0,0,False,52.0,5,0.8333333333333334,16,1.0,False,False,True,5.75,False,False,False,False,False,True,False,False,True,False,1,20,45.83333333333333,0,25,22.458333333333332,Low,First Steps,1
711,711,Reyes,Matthew,Brandon,,2019-02-19,64158,DUNKLIN,South John,35577,Male,White,No,,,True,English,False,False,Married,False,False,False,162,45078,6,False,3417,41,2,189,0,0,False,94.5,5,0.8333333333333334,22,1.0,False,False,True,4.5,False,False,False,True,False,False,False,False,True,False,0,0,5.833333333333332,0,35,8.458333333333332,Low,"Early Head Start, Child Care",2
712,712,Murphy,Wesley,Theodore,,2020-02-14,64354,WARREN,East Denise,110034,Male,White,Yes,,,False,Spanish,True,False,Married,False,False,False,100,21233,3,False,3665,42,3,173,0,0,False,57.666666666666664,5,0.8333333333333334,15,1.0,False,False,True,4.583333333333333,False,True,False,False,False,False,False,False,True,False,0,0,45.83333333333333,0,45,20.458333333333332,Low,"Child Care, First Steps",3
713,713,Taylor,Gabriella,James,,2020-04-02,63661,CAMDEN,South Wendy,15542,Not selected,American Indian or Alaska Native,No,,,False,English,False,False,Married,False,False,False,170,65579,5,False,3846,40,2,195,1,75,False,97.5,6,1.0,21,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,"Home Visiting, Early Head Start",2
714,714,Stark,Brianna,Taylor,,2020-05-28,64250,WRIGHT,Carlosside,115627,Female,White,No,,,False,English,False,False,Single,False,False,False,305,60889,4,False,2535,41,1,51,0,0,False,51.0,6,1.0,19,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Childcare Subsidy,1
715,715,Hobbs,Bryan,Evan,,2019-03-08,63895,SCHUYLER,Port Lucaschester,93590,Male,Black or African American,No,,,False,English,False,False,Divorced,False,False,False,119,23268,5,True,4059,37,3,131,0,0,False,43.666666666666664,4,0.6666666666666666,16,1.0,False,False,True,3.75,True,False,False,False,False,False,True,False,True,False,1,0,51.66666666666667,35,25,26.666666666666668,Moderate,"Early Intervention, Child Care, First Steps",3
716,716,Underwood,Eric,Patrick,,2020-09-12,65398,STE. GENEVIEVE,Edwinborough,103136,Male,White,No,,,True,English,False,False,Separated,False,False,False,121,38569,7,False,4291,39,2,126,1,69,False,63.0,6,1.0,16,1.0,False,False,True,4.375,False,False,False,True,False,False,False,False,True,False,0,15,40.0,0,35,21.5,Low,"First Steps, Child Care",2
717,717,Salazar,Cathy,Pamela,,2018-04-24,63779,JOHNSON,Catherinebury,51339,Female,White,No,,,False,English,False,False,Separated,False,False,False,292,73196,4,False,2135,40,1,14,0,0,False,14.0,6,1.0,22,1.0,False,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Home Visiting,1
718,718,Miller,Jerry,Anthony,,2018-02-08,64668,CLINTON,Andersonfort,25162,Not selected,White,No,,,False,English,False,False,Single,False,False,False,229,74983,6,False,4018,42,1,167,0,0,False,167.0,6,1.0,22,1.0,False,False,True,4.5,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,Child Care,1
719,719,Christian,James,,,2021-09-27,65899,RIPLEY,Wellsburgh,91919,Male,Demographic Race Two or More Races,No,,,False,English,False,False,Separated,False,False,False,62,25013,2,False,3118,38,2,60,0,0,False,30.0,3,0.5,17,1.0,True,False,True,3.25,True,False,False,False,False,False,False,False,True,True,0,20,57.5,35,45,38.125,High,First Steps,2
720,720,Smith,Antonio,Kathy,,2018-03-08,65290,STONE,Stephaniebury,105625,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,43,23915,3,True,2533,38,1,32,0,0,False,32.0,2,0.3333333333333333,14,1.0,True,False,True,2.75,True,False,False,False,False,False,True,False,True,True,1,20,63.333333333333336,35,50,40.583333333333336,High,Early Intervention,1
721,721,Jones,William,Peter,,2018-04-07,65835,BOLLINGER,Camachofort,9126,Male,White,No,,,False,English,False,False,Divorced,False,False,False,152,73674,3,False,3069,42,2,105,0,0,False,52.5,6,1.0,21,1.0,False,False,True,5.125,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"First Steps, Child Care",2
722,722,Patterson,Sean,Stephen,,2018-02-06,63118,DAVIESS,New Jillfurt,31222,Male,White,No,,,False,English,False,False,Single,False,False,False,288,64398,7,False,2833,38,3,187,0,0,False,62.333333333333336,6,1.0,19,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"Home Visiting, Childcare Subsidy, Head Start",3
723,723,Crosby,Jennifer,,,2019-05-02,65705,DOUGLAS,New Danielmouth,34905,Female,White,No,,,False,English,False,False,Separated,False,False,False,171,41043,4,False,2602,40,2,278,1,119,False,139.0,5,0.8333333333333334,17,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,15,5.833333333333332,0,20,9.958333333333332,Low,"Early Head Start, State Pre-K",2
724,724,Forbes,Amanda,,,2019-09-28,63262,WAYNE,Terrellton,112185,Female,White,No,,,False,English,False,False,Single,False,False,False,326,67494,3,False,3784,38,2,185,1,79,False,92.5,6,1.0,20,1.0,False,False,True,3.0,True,False,False,False,False,False,False,False,True,False,0,15,0.0,35,20,17.25,Low,"Home Visiting, Child Care",2
725,725,Mccoy,Jose,,,2018-03-04,63965,BARTON,East Kellyfurt,6714,Male,White,No,,,False,English,False,False,Separated,False,False,False,62,41941,6,True,2809,39,2,163,0,0,False,81.5,5,0.8333333333333334,16,1.0,False,False,True,4.5,False,False,False,False,False,False,True,False,True,True,1,0,5.833333333333332,0,50,11.458333333333332,Low,"Child Care, Early Head Start",2
726,726,Jackson,Raymond,Dustin,,2020-12-12,63707,CALLAWAY,Christieton,14180,Male,White,No,,,False,English,False,False,Married,False,False,False,206,81540,7,False,4160,39,5,514,0,0,False,102.8,6,1.0,20,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,"Child Care, Childcare Subsidy, Head Start, First Steps",5
727,727,Lucas,Rebecca,Steven,,2021-04-07,64205,GENTRY,Lake Vincentburgh,38310,Not selected,White,No,,,False,Chinese,False,True,Single,False,False,False,182,36354,6,False,2157,37,2,142,1,63,False,71.0,6,1.0,17,1.0,False,False,True,3.5,True,False,True,False,False,False,False,False,True,False,0,15,40.0,35,20,27.25,Moderate,"Child Care, First Steps",2
728,728,Taylor,Sharon,Heather,,2020-04-26,65599,LAWRENCE,Morristown,55674,Not selected,White,No,,,False,English,False,False,Single,False,False,False,109,28782,2,False,4314,40,3,179,0,0,False,59.666666666666664,6,1.0,17,1.0,False,True,True,3.0,True,False,False,False,False,False,False,False,True,False,0,0,40.0,75,20,32.75,Moderate,"Early Intervention, First Steps, State Pre-K",3
729,729,Marquez,Brittany,,,2018-03-26,65426,CEDAR,South Christopher,20293,Not selected,White,No,,,False,English,False,False,Separated,False,False,False,255,59310,7,False,3336,38,1,60,0,0,False,60.0,6,1.0,21,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Child Care,1
730,730,Dawson,Matthew,,,2020-11-25,63110,MILLER,Lake Jessica,66662,Male,White,No,,,False,English,False,False,Divorced,False,False,False,28,21453,7,True,2671,38,5,328,0,0,False,65.6,3,0.5,13,1.0,True,False,True,3.875,True,False,False,False,False,False,True,False,True,True,1,15,57.5,35,50,37.625,High,"Child Care, Early Head Start, Home Visiting",5
731,731,Miller,Michael,Mark,,2018-03-26,64525,SALINE,Acostahaven,92552,Male,White,No,,,False,English,False,False,Married,False,True,False,51,9763,3,False,4214,42,1,11,0,0,False,11.0,3,0.5,13,1.0,True,True,True,1.5,True,False,False,False,False,True,False,False,True,True,1,20,57.5,75,50,49.125,High,Home Visiting,1
732,732,Williams,Ernest,Andrea,,2021-03-19,64284,TANEY,West Ariana,107534,Not selected,White,No,,,False,English,False,False,Separated,False,False,False,392,71168,7,False,4404,40,1,14,0,0,False,14.0,6,1.0,21,1.0,False,False,True,6.0,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,First Steps,1
733,733,Melton,Chris,,,2019-02-07,65178,DENT,Port Jennifer,33223,Male,Asian,No,2025-12-22,,False,English,False,False,Divorced,False,True,False,72,22938,7,False,2829,41,2,133,0,0,False,66.5,4,0.6666666666666666,13,1.0,False,False,True,2.875,True,False,False,False,False,True,False,False,True,True,1,0,51.66666666666667,35,50,31.666666666666668,Moderate,"Early Head Start, First Steps",2
734,734,Mack,Eric,,,2018-12-18,63688,RAY,Robertsburgh,89724,Male,White,Yes,2021-09-13,2022-06-10,False,Spanish,True,False,Divorced,False,False,True,188,31031,4,False,3632,42,3,147,0,0,False,49.0,2,0.3333333333333333,16,1.0,True,False,True,4.125,False,True,False,False,False,False,False,True,True,False,1,0,63.333333333333336,0,50,25.833333333333336,Moderate,"Home Visiting, First Steps, Childcare Subsidy",3
735,735,Dean,David,James,,2021-10-06,65856,MONROE,Alexanderfort,69443,Not selected,Black or African American,No,,,False,English,False,False,Separated,False,False,False,208,56620,3,False,4168,40,2,138,0,0,False,69.0,5,0.8333333333333334,21,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,0,45.83333333333333,0,20,15.458333333333332,Low,"First Steps, Child Care",2
736,736,Smith,Amy,,,2018-09-11,64648,SULLIVAN,Youngshire,106182,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,77,20026,7,False,3607,41,2,170,0,0,False,85.0,5,0.8333333333333334,15,1.0,False,False,True,3.625,True,False,False,False,False,False,False,False,True,True,0,0,5.833333333333332,35,45,19.208333333333332,Low,"Child Care, State Pre-K",2
737,737,Burke,Jordan,Jessica,,2019-06-06,65868,RIPLEY,East Nicoleview,91021,Female,Black or African American,No,,,False,English,False,False,Married,False,False,False,61,33844,3,False,4077,37,1,180,0,0,False,180.0,4,0.6666666666666666,15,1.0,False,False,True,3.25,True,False,False,False,False,False,False,False,True,True,0,0,11.666666666666668,35,45,20.666666666666668,Low,Childcare Subsidy,1
