Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate,RelatedPerson HighestEducationLevel
0000000902,000902,Court appointed guardian,Brown,Wayne,Nathan,,1980-06-24,63894,DADE,Anthonyville,Male,No,Employed,2022-07-26,High school diploma or equivalent
0000000902,000902,Adoptive parent,Miller,Aaron,,,2007-09-21,63894,DADE,Anthonyville,Male,No,Not in Labor Force,2023-03-02,Graduate or professional degree
0000000903,000903,Grandmother,Benson,Jacqueline,Jody,,1987-09-28,65185,FRANKLIN,East David,Female,No,Employed,2023-04-20,Associate's degree
0000000903,000903,Aunt,Reilly,Maria,Patricia,,1983-12-29,65185,FRANKLIN,East David,Female,Yes,Employed,2023-06-30,"Some college, no degree"
0000000904,000904,Grandfather,Day,Corey,Charles,,1988-06-08,64708,WEBSTER,Toddton,Male,Yes,Employed,2022-09-16,"Some college, no degree"
0000000905,000905,Aunt,Hamilton,Pamela,Gail,,1982-07-15,63408,OSAGE,Wilsonview,Female,Yes,Employed,2021-04-23,High school diploma or equivalent
0000000906,000906,Stepfather,Davis,Paul,Nicholas,,1979-05-18,64881,MONROE,New Jamieborough,Male,Yes,Employed,2021-06-23,"Some college, no degree"
0000000906,000906,Foster father,Simmons,Richard,Steven,,1996-11-27,64881,MONROE,New Jamieborough,Male,Yes,Unemployed,2021-10-16,Graduate or professional degree
0000000907,000907,Foster mother,Fields,Michele,,,2003-01-12,64172,NODAWAY,Stacystad,Female,No,Employed,2025-05-24,Associate's degree
0000000907,000907,Foster father,Cook,Ryan,Trevor,,2002-07-01,64172,NODAWAY,Stacystad,Male,No,Part-time,2025-09-10,High school diploma or equivalent
0000000908,000908,Foster father,Smith,Daniel,Russell,,1977-12-14,63569,ADAIR,New Ashley,Male,Yes,Not in Labor Force,2025-07-31,Associate's degree
0000000908,000908,Stepfather,Norman,Edward,Joshua,,1970-03-18,63569,ADAIR,New Ashley,Male,No,Employed,2023-08-29,High school diploma or equivalent
0000000909,000909,Foster mother,Collier,Kelsey,Madison,,1975-11-13,63596,GENTRY,West George,Female,No,Employed,2022-03-20,High school diploma or equivalent
0000000909,000909,Uncle,Gray,Timothy,Robert,Sr.,1983-07-27,63596,GENTRY,West George,Male,No,Part-time,2021-06-26,Bachelor's degree
0000000910,000910,Adoptive parent,Reynolds,Brian,Ryan,,1974-10-31,65868,ST. LOUIS,Richardsonshire,Male,Yes,Employed,2024-03-23,Associate's degree
0000000910,000910,Foster father,Stevens,Daniel,Ryan,,1982-10-23,65868,ST. LOUIS,Richardsonshire,Male,Yes,Employed,2021-07-01,No high school diploma
0000000911,000911,Mother,Rodriguez,Bailey,Julia,,2002-02-14,63634,NEW MADRID,Tinachester,Female,No,Employed,2024-05-27,Bachelor's degree
0000000912,000912,Foster father,Jordan,Michael,Jeremy,,1977-11-28,64305,CLINTON,South Danielberg,Male,No,Employed,2024-03-06,"Some college, no degree"
0000000913,000913,Stepfather,Roberts,William,,,1985-11-17,64349,GASCONADE,North Markville,Male,Yes,Not in Labor Force,2021-05-13,High school diploma or equivalent
0000000914,000914,Foster Parent,Hughes,Timothy,,,1972-01-21,65759,AUDRAIN,Perezchester,Male,No,Employed,2023-07-06,Bachelor's degree
0000000914,000914,Grandfather,Roy,Luis,Ronald,,1975-11-22,65759,AUDRAIN,Perezchester,Male,No,Employed,2025-07-09,"Some college, no degree"
0000000915,000915,Stepmother,Jones,Kayla,Alicia,,1995-08-26,63764,FRANKLIN,Crosbystad,Female,Yes,Employed,2023-08-28,Associate's degree
0000000915,000915,Aunt,Joseph,Kelly,,,1987-05-25,63764,FRANKLIN,Crosbystad,Female,No,Unemployed,2024-01-08,"Some college, no degree"
0000000916,000916,Foster mother,Scott,Katie,Kathy,,1978-06-12,64713,DADE,South Samuelland,Female,No,Employed,2022-12-12,High school diploma or equivalent
0000000916,000916,Adoptive parent,Myers,Jamie,Joseph,,1996-04-18,64713,DADE,South Samuelland,Male,No,Not in Labor Force,2026-03-10,Bachelor's degree
0000000917,000917,Mother,Madden,Jillian,Dawn,,1989-04-16,63713,DENT,North Michael,Female,No,Employed,2025-11-25,High school diploma or equivalent
0000000917,000917,Adoptive parent,Salas,David,,,2006-02-13,63713,DENT,North Michael,Male,Yes,Employed,2024-01-21,Associate's degree
0000000918,000918,Father,Anthony,Jeremiah,,,2004-05-20,65691,DADE,Martinezchester,Male,Yes,Unemployed,2022-06-29,High school diploma or equivalent
0000000919,000919,Grandfather,Kelly,Robert,Kevin,,1974-08-08,63356,GREENE,Katelynfurt,Male,Yes,Not in Labor Force,2026-03-06,"Some college, no degree"
0000000919,000919,Foster Parent,Robinson,Samuel,Robert,,1987-05-25,63356,GREENE,Katelynfurt,Male,No,Employed,2021-12-17,High school diploma or equivalent
0000000920,000920,Foster Parent,Murphy,Matthew,Austin,,1987-02-27,63757,ADAIR,Dylanmouth,Male,No,Part-time,2024-11-12,Bachelor's degree
0000000921,000921,Aunt,Nichols,Tracy,Destiny,,2004-08-24,65456,HOWELL,North Cory,Female,Yes,Not in Labor Force,2022-02-12,Graduate or professional degree
0000000921,000921,Court appointed guardian,Collier,Edward,,,1981-12-07,65456,HOWELL,North Cory,Male,Yes,Employed,2024-04-01,"Some college, no degree"
0000000922,000922,Father,Stanton,Ronald,,,2000-06-12,63484,ST. LOUIS,Jacobsmouth,Male,Yes,Unemployed,2025-04-09,"Some college, no degree"
0000000923,000923,Stepfather,Davis,Martin,Jerry,,1986-03-04,65712,LACLEDE,Lake Karenfort,Male,No,Employed,2022-11-01,No high school diploma
0000000923,000923,Grandmother,Jackson,Laura,Meagan,,2000-12-30,65712,LACLEDE,Lake Karenfort,Female,Yes,Employed,2022-04-15,Bachelor's degree
0000000924,000924,Adoptive parent,Escobar,Brian,,,1985-09-21,64165,MISSISSIPPI,Amyside,Male,No,Employed,2022-05-20,Bachelor's degree
0000000924,000924,Foster mother,Walker,Victoria,Angelica,,2003-09-21,64165,MISSISSIPPI,Amyside,Female,No,Employed,2025-05-09,High school diploma or equivalent
0000000925,000925,Grandfather,Acosta,Arthur,Brian,,1997-02-26,65057,PHELPS,Beardville,Male,Yes,Employed,2023-02-10,High school diploma or equivalent
0000000925,000925,Mother,Johnson,Lauren,,,1971-02-05,65057,PHELPS,Beardville,Female,No,Part-time,2022-08-01,"Some college, no degree"
0000000926,000926,Grandfather,Williams,Jeremiah,,,1986-08-19,64752,REYNOLDS,East Angelaport,Male,No,Part-time,2022-09-24,"Some college, no degree"
0000000926,000926,Stepmother,Stevens,Linda,Amy,,1983-05-25,64752,REYNOLDS,East Angelaport,Female,Yes,Employed,2025-03-26,Bachelor's degree
0000000927,000927,Adoptive parent,Hodges,Austin,Brett,,1993-08-16,63654,LAWRENCE,Freemanville,Male,No,Employed,2025-09-29,High school diploma or equivalent
0000000928,000928,Foster father,Davis,Johnny,Justin,,2003-02-03,65446,CLARK,Alvarezburgh,Male,Yes,Part-time,2024-05-02,High school diploma or equivalent
0000000928,000928,Grandmother,Madden,Angel,,,1976-04-22,65446,CLARK,Alvarezburgh,Female,No,Employed,2025-02-25,High school diploma or equivalent
0000000929,000929,Grandfather,Hanson,Joseph,Anthony,,2002-04-11,63025,REYNOLDS,Katieport,Male,No,Part-time,2023-05-03,Bachelor's degree
0000000930,000930,Grandmother,Serrano,Megan,Margaret,,1990-01-25,65880,REYNOLDS,Lisashire,Female,No,Employed,2025-09-01,"Some college, no degree"
0000000930,000930,Foster Parent,Parker,Ronnie,,,1973-04-10,65880,REYNOLDS,Lisashire,Male,Yes,Not in Labor Force,2025-09-08,High school diploma or equivalent
0000000931,000931,Court appointed guardian,Davis,Jeffery,Nathan,,1988-04-30,63518,DUNKLIN,Victoriachester,Male,Yes,Part-time,2023-07-16,Associate's degree
0000000931,000931,Grandfather,Martin,Christian,Lee,,1970-04-13,63518,DUNKLIN,Victoriachester,Male,Yes,Employed,2025-08-25,High school diploma or equivalent
0000000932,000932,Uncle,Hawkins,John,,,1971-05-04,65455,WEBSTER,Lake Cameronport,Male,No,Employed,2024-11-27,High school diploma or equivalent
0000000932,000932,Adoptive parent,Hernandez,Patrick,Gregory,,2008-03-02,65455,WEBSTER,Lake Cameronport,Male,No,Employed,2021-04-06,Bachelor's degree
0000000933,000933,Aunt,Dawson,Lisa,Karen,,1992-08-08,65630,RIPLEY,Bradleychester,Female,No,Not in Labor Force,2024-09-18,Associate's degree
0000000933,000933,Foster Parent,Murillo,Michael,Christopher,,1971-06-24,65630,RIPLEY,Bradleychester,Male,Yes,Employed,2021-07-01,"Some college, no degree"
0000000934,000934,Adoptive parent,Hartman,Bradley,Austin,,2003-01-27,64876,GRUNDY,Hudsonmouth,Male,No,Employed,2021-08-31,"Some college, no degree"
0000000934,000934,Father,Odom,Gregory,Justin,,1986-09-29,64876,GRUNDY,Hudsonmouth,Male,Yes,Employed,2025-01-26,Bachelor's degree
0000000935,000935,Grandfather,Schultz,Michael,Leslie,,1988-01-01,63382,LEWIS,Tylermouth,Male,No,Employed,2022-07-11,Associate's degree
0000000936,000936,Uncle,Lawrence,Tyler,Leonard,,2002-03-27,65208,PLATTE,Port Melissaborough,Male,No,Employed,2025-07-11,Associate's degree
0000000937,000937,Uncle,White,Timothy,,,1983-12-31,65244,LAWRENCE,Ballardland,Male,Yes,Employed,2024-03-14,High school diploma or equivalent
0000000937,000937,Grandmother,Valencia,Amanda,Alexandra,,2000-12-24,65244,LAWRENCE,Ballardland,Female,Yes,Employed,2022-05-14,"Some college, no degree"
0000000938,000938,Court appointed guardian,Anderson,Dennis,Marcus,,1975-09-18,63018,DAVIESS,Simmonsstad,Male,Yes,Employed,2025-10-20,High school diploma or equivalent
0000000938,000938,Stepfather,Nelson,John,Peter,,1972-04-16,63018,DAVIESS,Simmonsstad,Male,No,Employed,2022-11-04,High school diploma or equivalent
0000000939,000939,Court appointed guardian,Henderson,Eric,Michael,,1976-10-02,64597,MERCER,Alvaradomouth,Male,Yes,Unemployed,2024-04-16,High school diploma or equivalent
0000000940,000940,Stepmother,Chavez,Natasha,,,1998-05-19,65374,RALLS,North Courtney,Female,Yes,Part-time,2022-07-11,Associate's degree
0000000940,000940,Foster father,French,Michael,David,,1973-09-05,65374,RALLS,North Courtney,Male,Yes,Employed,2023-10-26,High school diploma or equivalent
0000000941,000941,Stepfather,Guerrero,Aaron,Bryan,,1994-10-30,64879,ST. FRANCOIS,Adamsside,Male,Yes,Not in Labor Force,2022-11-25,No high school diploma
0000000941,000941,Uncle,Hill,Jared,,,1973-12-29,64879,ST. FRANCOIS,Adamsside,Male,No,Employed,2026-01-13,Associate's degree
0000000942,000942,Mother,Michael,Sheila,Ashley,,1993-11-12,64716,CEDAR,New Jamesmouth,Female,No,Employed,2025-01-07,"Some college, no degree"
0000000942,000942,Stepmother,Michael,Heidi,,,1984-03-16,64716,CEDAR,New Jamesmouth,Female,Yes,Employed,2026-02-01,"Some college, no degree"
0000000943,000943,Uncle,Mcconnell,Christopher,,,1988-02-02,64032,STONE,Meganchester,Male,No,Employed,2021-04-10,"Some college, no degree"
0000000943,000943,Foster Parent,Allen,Peter,Leonard,,1987-10-18,64032,STONE,Meganchester,Male,Yes,Not in Labor Force,2025-09-10,Associate's degree
0000000944,000944,Grandmother,Hooper,Robyn,Brittany,,1978-07-31,65040,SCHUYLER,Adamsport,Female,No,Employed,2022-08-07,"Some college, no degree"
0000000944,000944,Mother,Harris,Danielle,Brianna,,1998-04-13,65040,SCHUYLER,Adamsport,Female,Yes,Employed,2024-01-19,"Some college, no degree"
0000000945,000945,Foster father,Johnston,Robert,John,,1986-08-22,63811,SCHUYLER,East Jamesbury,Male,Yes,Employed,2025-12-03,Associate's degree
0000000945,000945,Court appointed guardian,Smith,Christopher,,,1977-09-14,63811,SCHUYLER,East Jamesbury,Male,No,Employed,2022-04-26,High school diploma or equivalent
0000000946,000946,Foster mother,Green,Alicia,Jennifer,,1996-06-16,65863,HICKORY,Lucaston,Female,No,Not in Labor Force,2025-01-23,Bachelor's degree
0000000946,000946,Court appointed guardian,Williams,Nathan,,,2004-02-25,65863,HICKORY,Lucaston,Male,Yes,Employed,2025-02-11,"Some college, no degree"
0000000947,000947,Mother,Johnson,Carolyn,,,2004-02-12,65343,HOWARD,Donnaburgh,Female,Yes,Part-time,2021-05-31,Graduate or professional degree
0000000947,000947,Foster Parent,Stone,Scott,Joshua,,1977-04-27,65343,HOWARD,Donnaburgh,Male,No,Employed,2024-11-17,No high school diploma
0000000948,000948,Foster Parent,Goodman,Joseph,,,1992-02-12,63511,OREGON,Port Peggymouth,Male,Yes,Employed,2025-07-17,High school diploma or equivalent
0000000949,000949,Mother,Russell,Nicole,Allison,,1986-06-18,65723,MONITEAU,Emilyland,Female,Yes,Employed,2024-12-20,"Some college, no degree"
0000000950,000950,Aunt,Hunter,Lorraine,Heather,,1987-10-20,65202,SALINE,North Ashley,Female,Yes,Employed,2022-04-17,"Some college, no degree"
0000000950,000950,Grandfather,Bell,Alec,Antonio,,1975-04-05,65202,SALINE,North Ashley,Male,No,Employed,2024-08-02,Bachelor's degree
0000000951,000951,Foster mother,Campos,Jennifer,,,2005-10-25,64805,ST. CLAIR,Tylerland,Female,Yes,Unemployed,2024-07-11,"Some college, no degree"
0000000952,000952,Stepmother,Roman,Valerie,Wendy,,1984-05-23,63752,PEMISCOT,Marisafurt,Female,Yes,Part-time,2021-04-21,"Some college, no degree"
0000000952,000952,Uncle,Gonzalez,Bradley,,,1975-05-13,63752,PEMISCOT,Marisafurt,Male,Yes,Part-time,2025-11-29,High school diploma or equivalent
0000000953,000953,Foster mother,Lewis,Nicole,Virginia,,1981-08-20,64644,ATCHISON,East Jasonview,Female,No,Employed,2021-09-06,"Some college, no degree"
0000000953,000953,Grandmother,Hahn,Summer,Donna,,1988-04-28,64644,ATCHISON,East Jasonview,Female,No,Unemployed,2022-11-22,"Some college, no degree"
0000000954,000954,Stepmother,Henry,Jamie,Melissa,,1989-07-24,63979,IRON,Hollyville,Female,No,Unemployed,2024-08-01,Associate's degree
0000000955,000955,Court appointed guardian,Young,Daniel,John,,1986-11-29,63268,HICKORY,West Thomas,Male,No,Employed,2024-02-27,Associate's degree
0000000956,000956,Mother,Stein,Kimberly,,,1970-07-04,64282,MISSISSIPPI,Port Joditon,Female,Yes,Part-time,2021-05-11,"Some college, no degree"
0000000956,000956,Grandmother,Cook,Rhonda,Tricia,,1989-06-06,64282,MISSISSIPPI,Port Joditon,Female,Yes,Employed,2023-11-26,Associate's degree
0000000957,000957,Adoptive parent,Jones,Kevin,Parker,,1976-11-20,64251,SCHUYLER,Daniellestad,Male,Yes,Employed,2021-12-15,"Some college, no degree"
0000000957,000957,Uncle,Walker,Richard,,,1995-04-01,64251,SCHUYLER,Daniellestad,Male,No,Employed,2024-04-06,High school diploma or equivalent
0000000958,000958,Father,Young,Robert,Gary,,1996-05-07,65731,HOWARD,Pricefurt,Male,No,Employed,2023-01-09,High school diploma or equivalent
0000000958,000958,Grandfather,Conner,Cory,Matthew,,1984-12-26,65731,HOWARD,Pricefurt,Male,No,Employed,2025-03-28,High school diploma or equivalent
0000000959,000959,Aunt,Murphy,Evelyn,Caitlin,,1984-10-11,63916,SULLIVAN,West Jason,Female,Yes,Employed,2025-11-26,Associate's degree
0000000959,000959,Foster Parent,Weaver,Christian,,,2003-07-11,63916,SULLIVAN,West Jason,Male,Yes,Employed,2022-03-26,"Some college, no degree"
0000000960,000960,Grandmother,Scott,Diana,Jennifer,,1980-06-03,65144,BATES,Mccormickview,Female,No,Employed,2026-02-13,Associate's degree
0000000961,000961,Foster mother,Mcdaniel,Leah,,,1984-11-24,63128,REYNOLDS,Housemouth,Female,No,Employed,2022-04-03,"Some college, no degree"
0000000961,000961,Grandfather,Byrd,Anthony,Benjamin,,2006-01-10,63128,REYNOLDS,Housemouth,Male,No,Employed,2021-06-05,Bachelor's degree
0000000962,000962,Stepmother,Wilkins,Monica,Laura,,2000-07-05,65682,MILLER,Lake Jose,Female,Yes,Part-time,2022-03-20,Associate's degree
0000000962,000962,Father,Wilkins,Kyle,Gerald,,1971-08-11,65682,MILLER,Lake Jose,Male,Yes,Employed,2023-02-16,Associate's degree
0000000963,000963,Mother,Kelley,Sarah,,,1977-10-17,63881,CLARK,Shawntown,Female,Yes,Employed,2024-10-22,Bachelor's degree
0000000964,000964,Foster Parent,Jones,Luis,,,1975-09-29,64808,JACKSON,North Richard,Male,Yes,Employed,2024-02-12,Graduate or professional degree
0000000964,000964,Aunt,Torres,Zoe,Jamie,,1977-04-04,64808,JACKSON,North Richard,Female,No,Employed,2023-09-28,Bachelor's degree
0000000965,000965,Stepmother,Moore,Meredith,Rebecca,,1974-03-24,65631,RALLS,Port Brooke,Female,No,Employed,2021-06-28,Bachelor's degree
0000000965,000965,Father,Moore,Javier,,,1977-06-14,65631,RALLS,Port Brooke,Male,No,Not in Labor Force,2021-04-07,"Some college, no degree"
0000000966,000966,Foster mother,Ashley,Jamie,Felicia,,1998-12-02,64626,DEKALB,West Glenn,Female,No,Part-time,2025-10-08,Bachelor's degree
0000000966,000966,Father,Russo,Eugene,,,1971-07-09,64626,DEKALB,West Glenn,Male,Yes,Unemployed,2024-02-10,Bachelor's degree
0000000967,000967,Foster mother,Lewis,Lisa,Angel,,1976-08-05,63024,CLARK,South Michaelfurt,Female,No,Employed,2023-11-06,Associate's degree
0000000967,000967,Court appointed guardian,Morrow,Lucas,Michael,,1995-12-12,63024,CLARK,South Michaelfurt,Male,No,Unemployed,2025-12-03,High school diploma or equivalent
0000000968,000968,Stepfather,Walker,Steve,,,1999-01-28,65782,LIVINGSTON,New Deborahbury,Male,No,Not in Labor Force,2023-10-20,High school diploma or equivalent
0000000968,000968,Father,Walker,James,Andre,Jr.,1972-10-24,65782,LIVINGSTON,New Deborahbury,Male,No,Employed,2025-08-17,"Some college, no degree"
0000000969,000969,Foster father,Garcia,Aaron,,,1992-11-06,63692,MORGAN,North Richard,Male,No,Employed,2022-01-28,Bachelor's degree
0000000969,000969,Mother,Haynes,Tina,Michele,,1971-03-08,63692,MORGAN,North Richard,Female,No,Employed,2025-02-07,High school diploma or equivalent
0000000970,000970,Aunt,Santos,Jennifer,Alyssa,,2007-07-05,65426,MILLER,North Jenniferchester,Female,Yes,Employed,2024-07-08,"Some college, no degree"
0000000970,000970,Foster father,Nelson,Dustin,Richard,,2000-09-09,65426,MILLER,North Jenniferchester,Male,No,Employed,2023-08-24,"Some college, no degree"
0000000971,000971,Stepmother,Snyder,Penny,Sara,,1976-10-23,64520,MONITEAU,Lake James,Female,No,Employed,2025-07-02,Graduate or professional degree
0000000972,000972,Court appointed guardian,Simpson,Miguel,Johnny,,1986-01-15,65049,MERCER,Andersonborough,Male,No,Employed,2025-07-11,Associate's degree
0000000972,000972,Grandmother,Bender,Rachael,Courtney,,1997-05-19,65049,MERCER,Andersonborough,Female,Yes,Part-time,2021-08-01,No high school diploma
0000000973,000973,Adoptive parent,Torres,Thomas,Anthony,,1989-09-06,64182,ST. CHARLES,South Henry,Male,No,Employed,2022-09-09,"Some college, no degree"
0000000973,000973,Stepfather,Campbell,David,,,1999-07-06,64182,ST. CHARLES,South Henry,Male,Yes,Employed,2026-02-14,Associate's degree
0000000974,000974,Father,Young,Kelly,John,,2006-08-19,63848,LAFAYETTE,Solomonstad,Male,Yes,Part-time,2023-01-31,Associate's degree
0000000974,000974,Adoptive parent,Green,Mike,,,1974-08-30,63848,LAFAYETTE,Solomonstad,Male,No,Unemployed,2021-10-24,No high school diploma
0000000975,000975,Foster mother,Johnson,Olivia,,,2001-01-06,65361,HOWARD,Terrifurt,Female,Yes,Employed,2025-06-12,"Some college, no degree"
0000000975,000975,Adoptive parent,George,John,Joel,,1997-04-26,65361,HOWARD,Terrifurt,Male,Yes,Unemployed,2024-09-01,"Some college, no degree"
0000000976,000976,Stepfather,Erickson,Darryl,,,1974-11-18,63358,ATCHISON,Charlesside,Male,No,Unemployed,2026-01-11,Bachelor's degree
0000000976,000976,Adoptive parent,Holt,Howard,,,1981-12-15,63358,ATCHISON,Charlesside,Male,No,Employed,2021-03-29,"Some college, no degree"
0000000977,000977,Stepmother,Young,Amy,Melissa,,1974-04-08,64375,ST. LOUIS CITY,Wendyton,Female,No,Employed,2021-07-25,"Some college, no degree"
0000000977,000977,Grandfather,Potter,Joseph,Jerome,,1981-12-04,64375,ST. LOUIS CITY,Wendyton,Male,No,Part-time,2024-09-20,High school diploma or equivalent
0000000978,000978,Uncle,Snyder,Sean,,,1982-03-02,64697,SHANNON,Davidside,Male,Yes,Employed,2023-12-05,Bachelor's degree
0000000978,000978,Adoptive parent,Stewart,Brandon,Bobby,,2001-01-22,64697,SHANNON,Davidside,Male,Yes,Employed,2021-04-29,Associate's degree
0000000979,000979,Uncle,Wilson,Daniel,Scott,,1983-04-13,65849,RANDOLPH,Natalieberg,Male,No,Unemployed,2025-07-14,"Some college, no degree"
0000000979,000979,Foster mother,Tran,Carol,Jennifer,,1991-09-25,65849,RANDOLPH,Natalieberg,Female,No,Employed,2021-04-02,High school diploma or equivalent
0000000980,000980,Court appointed guardian,Williams,Gregory,Brent,,2007-03-16,64724,RAY,Bradleyberg,Male,Yes,Employed,2025-05-02,"Some college, no degree"
0000000980,000980,Grandfather,White,Joe,Matthew,,1982-07-07,64724,RAY,Bradleyberg,Male,No,Employed,2022-05-01,Associate's degree
0000000981,000981,Aunt,Lee,Sharon,Carolyn,,1994-12-30,64040,TEXAS,Saraport,Female,No,Not in Labor Force,2021-07-31,Bachelor's degree
0000000982,000982,Stepfather,Mcintosh,Matthew,Troy,,1976-12-01,64926,WRIGHT,Ryanburgh,Male,No,Employed,2025-06-16,Bachelor's degree
0000000982,000982,Foster mother,Castro,Marissa,,,2002-05-27,64926,WRIGHT,Ryanburgh,Female,No,Employed,2025-05-15,Associate's degree
0000000983,000983,Grandmother,Jones,Emily,,,2005-01-04,63380,ST. CHARLES,Brownberg,Female,Yes,Employed,2022-08-04,High school diploma or equivalent
0000000983,000983,Stepfather,Hernandez,Luis,Bradley,,1996-12-23,63380,ST. CHARLES,Brownberg,Male,Yes,Not in Labor Force,2025-04-14,"Some college, no degree"
0000000984,000984,Foster Parent,Thomas,Andrew,John,,1988-11-11,63940,ST. LOUIS CITY,Grahamfort,Male,Yes,Not in Labor Force,2021-05-21,Associate's degree
0000000984,000984,Foster mother,Horton,Natalie,Holly,,1991-12-03,63940,ST. LOUIS CITY,Grahamfort,Female,Yes,Part-time,2023-12-18,Graduate or professional degree
0000000985,000985,Uncle,Kirby,Jeffrey,,,1977-12-26,64799,GRUNDY,Rodriguezberg,Male,No,Not in Labor Force,2024-08-18,"Some college, no degree"
0000000986,000986,Grandfather,Perez,Stephen,,,2006-09-17,65803,BUTLER,Lake William,Male,Yes,Employed,2023-01-07,Bachelor's degree
0000000987,000987,Aunt,Morales,Ashley,,,1977-05-01,64421,NEWTON,New Katieburgh,Female,Yes,Employed,2021-11-12,Associate's degree
0000000987,000987,Adoptive parent,Cameron,William,Andrew,,1992-02-07,64421,NEWTON,New Katieburgh,Male,No,Employed,2023-02-04,Associate's degree
0000000988,000988,Stepmother,Rhodes,Barbara,Dana,,2003-08-04,63825,CLINTON,Anthonyville,Female,No,Part-time,2023-01-08,Bachelor's degree
0000000989,000989,Stepfather,Hood,Benjamin,Nicholas,,1983-01-18,64842,ATCHISON,North Christopher,Male,Yes,Employed,2022-03-29,Associate's degree
0000000989,000989,Court appointed guardian,Johnson,Matthew,,,1985-03-31,64842,ATCHISON,North Christopher,Male,Yes,Employed,2022-03-21,High school diploma or equivalent
0000000990,000990,Grandmother,Conley,Sharon,Taylor,,2001-08-20,64658,MACON,West Taramouth,Female,Yes,Employed,2021-12-14,Bachelor's degree
0000000991,000991,Aunt,Davis,Vanessa,Karen,,2002-03-22,65870,LACLEDE,East Michelle,Female,Yes,Unemployed,2022-11-23,High school diploma or equivalent
0000000991,000991,Father,Bernard,Mark,Jason,,1983-01-11,65870,LACLEDE,East Michelle,Male,Yes,Not in Labor Force,2022-05-22,"Some college, no degree"
0000000992,000992,Foster Parent,Perez,Anthony,Robert,,2007-06-17,64730,MERCER,Davisview,Male,Yes,Employed,2025-12-26,Bachelor's degree
0000000992,000992,Foster mother,Walker,Heidi,Diana,,1974-01-19,64730,MERCER,Davisview,Female,Yes,Employed,2022-10-21,"Some college, no degree"
0000000993,000993,Stepmother,Davis,Kathy,Michele,,1971-04-04,64273,HOLT,East Paul,Female,No,Employed,2023-12-20,Associate's degree
0000000994,000994,Uncle,Thomas,Brian,,,1984-07-16,64232,TANEY,Travischester,Male,Yes,Not in Labor Force,2023-01-03,No high school diploma
0000000995,000995,Stepmother,Munoz,Anna,,,1981-12-27,63006,COOPER,Elizabethstad,Female,No,Employed,2023-10-21,High school diploma or equivalent
0000000996,000996,Mother,Alvarez,Mariah,Debra,,1983-12-28,64001,SALINE,Davischester,Female,Yes,Not in Labor Force,2026-01-12,"Some college, no degree"
0000000997,000997,Stepmother,Simmons,Rachael,Courtney,Sr.,1979-12-03,65853,HARRISON,New Matthewmouth,Female,Yes,Employed,2024-05-15,Associate's degree
0000000998,000998,Stepfather,Arias,William,Sean,,1983-12-01,63983,SHELBY,West Taylorland,Male,Yes,Employed,2024-10-15,"Some college, no degree"
0000000999,000999,Foster father,Price,Nicholas,Trevor,,1998-06-09,63137,FRANKLIN,Lake Rebecca,Male,Yes,Part-time,2024-06-02,High school diploma or equivalent
0000000999,000999,Aunt,Farmer,Amy,Kathryn,,2004-12-21,63137,FRANKLIN,Lake Rebecca,Female,No,Employed,2021-04-23,High school diploma or equivalent
0000001000,001000,Grandmother,Smith,Cindy,,,1984-06-20,64910,DOUGLAS,North Williamhaven,Female,Yes,Employed,2022-12-11,"Some college, no degree"
0000001000,001000,Father,Williams,Kyle,Joshua,,1993-02-27,64910,DOUGLAS,North Williamhaven,Male,No,Employed,2023-03-27,"Some college, no degree"
0000001001,001001,Foster mother,Wheeler,Alexis,,,2002-07-27,64255,GRUNDY,Michaelshire,Female,Yes,Employed,2025-01-12,Graduate or professional degree
0000001001,001001,Foster Parent,Wilson,Andrew,Wayne,,2007-07-26,64255,GRUNDY,Michaelshire,Male,Yes,Part-time,2024-02-05,Associate's degree
0000001002,001002,Foster father,Briggs,Christopher,,,1987-09-29,65157,ATCHISON,Whiteburgh,Male,No,Employed,2024-05-17,Associate's degree
0000001002,001002,Stepfather,Wilson,Robert,Douglas,,1973-10-13,65157,ATCHISON,Whiteburgh,Male,Yes,Part-time,2023-03-01,Bachelor's degree
0000001003,001003,Court appointed guardian,Thomas,Christopher,,,1994-06-05,64262,BARRY,Brendamouth,Male,Yes,Part-time,2023-10-13,"Some college, no degree"
0000001003,001003,Foster Parent,Quinn,Tracy,William,,1995-10-25,64262,BARRY,Brendamouth,Male,Yes,Employed,2022-12-07,High school diploma or equivalent
0000001004,001004,Foster Parent,Paul,Joshua,,,1994-05-24,64463,DADE,Tammyburgh,Male,No,Employed,2025-05-13,Bachelor's degree
0000001004,001004,Aunt,Mueller,Margaret,,,1976-06-18,64463,DADE,Tammyburgh,Female,Yes,Employed,2021-11-30,"Some college, no degree"
0000001005,001005,Foster father,Bruce,Aaron,,,2006-02-22,65203,MONITEAU,South Amandatown,Male,No,Employed,2026-02-06,No high school diploma
0000001005,001005,Stepfather,Green,Bobby,,,1971-05-05,65203,MONITEAU,South Amandatown,Male,Yes,Employed,2022-05-05,Bachelor's degree
